participant,group,veriStim_resp.rt,veriStim_resp.corr,mult_type,error_distance,interferenceScore,problemType,problemSize,interferenceLevel,mult_problem
10010,CAB,1.2972,1,lure,2,1,non-tie,small-sized,low,4 × 2 = 6
10010,CAB,1.613,1,correct,0,8,non-tie,small-sized,high,4 × 5 = 20
10010,CAB,1.1945,1,correct,0,5,tie,small-sized,low,4 × 4 = 16
10010,CAB,1.3465,1,lure,4,17,non-tie,large-sized,high,7 × 4 = 24
10010,CAB,1.6298,1,correct,0,22,non-tie,large-sized,high,6 × 7 = 42
10010,CAB,1.231,1,correct,0,9,non-tie,large-sized,high,9 × 4 = 36
10010,CAB,1.7794,1,correct,0,7,non-tie,large-sized,low,7 × 5 = 35
10010,CAB,4.0618,1,correct,0,6,tie,large-sized,low,9 × 9 = 81
10010,CAB,1.0943,1,lure,4,8,non-tie,small-sized,high,5 × 4 = 16
10010,CAB,2.0368,1,lure,4,10,non-tie,small-sized,high,4 × 3 = 16
10010,CAB,1.5463,1,correct,0,13,non-tie,small-sized,high,8 × 3 = 24
10010,CAB,1.1161,1,correct,0,17,non-tie,large-sized,high,7 × 9 = 63
10010,CAB,1.2785,1,correct,0,13,non-tie,small-sized,high,7 × 3 = 21
10010,CAB,1.262,1,lure,2,7,non-tie,small-sized,low,9 × 2 = 16
10010,CAB,1.83,1,correct,0,19,tie,large-sized,high,8 × 8 = 64
10010,CAB,1.5458,1,lure,5,9,non-tie,large-sized,high,5 × 8 = 45
10010,CAB,0.8461,1,correct,0,3,tie,small-sized,low,5 × 5 = 25
10010,CAB,1.7863,1,lure,7,17,non-tie,large-sized,high,9 × 7 = 56
10010,CAB,1.8123,1,correct,0,17,non-tie,large-sized,high,7 × 4 = 28
10010,CAB,2.2109,1,correct,0,13,non-tie,large-sized,high,9 × 6 = 54
10010,CAB,1.0155,1,lure,9,6,tie,large-sized,low,9 × 9 = 90
10010,CAB,1.1461,1,correct,0,19,tie,large-sized,high,8 × 8 = 64
10010,CAB,1.327,1,lure,6,4,tie,large-sized,low,6 × 6 = 30
10010,CAB,1.2123,1,lure,3,10,non-tie,small-sized,high,3 × 4 = 15
10010,CAB,1.1123,1,lure,3,0,tie,small-sized,low,3 × 3 = 12
10010,CAB,1.0996,1,correct,0,17,non-tie,large-sized,high,9 × 7 = 63
10010,CAB,1.3795,1,correct,0,9,non-tie,large-sized,high,9 × 3 = 27
10010,CAB,0.9025,1,correct,0,0,tie,small-sized,low,2 × 2 = 4
10010,CAB,2.1666,1,lure,6,22,non-tie,large-sized,high,6 × 7 = 48
10010,CAB,0.8538,1,correct,0,8,non-tie,small-sized,high,5 × 4 = 20
10010,CAB,1.8364,1,lure,3,2,non-tie,small-sized,low,5 × 3 = 12
10010,CAB,1.3326,1,lure,2,7,non-tie,small-sized,low,2 × 8 = 18
10010,CAB,1.4945,1,correct,0,8,non-tie,small-sized,high,6 × 3 = 18
10010,CAB,1.7637,1,lure,4,12,non-tie,small-sized,high,6 × 4 = 20
10010,CAB,2.2116,1,correct,0,13,non-tie,small-sized,high,3 × 7 = 21
10010,CAB,1.0624,1,correct,0,0,non-tie,small-sized,low,2 × 3 = 6
10010,CAB,1.1796,1,lure,2,4,non-tie,small-sized,low,2 × 7 = 16
10010,CAB,3.8962,1,lure,8,19,non-tie,large-sized,high,9 × 8 = 64
10010,CAB,1.9696,1,lure,7,9,non-tie,large-sized,high,7 × 8 = 63
10010,CAB,0.9118,1,correct,0,19,non-tie,large-sized,high,8 × 9 = 72
10010,CAB,1.2321,1,correct,0,1,non-tie,small-sized,low,4 × 2 = 8
10010,CAB,2.1859,1,lure,2,7,non-tie,small-sized,low,8 × 2 = 14
10010,CAB,0.9462,1,correct,0,5,tie,small-sized,low,4 × 4 = 16
10010,CAB,1.1151,1,correct,0,3,tie,small-sized,low,5 × 5 = 25
10010,CAB,1.3959,1,lure,5,7,non-tie,large-sized,low,5 × 7 = 40
10010,CAB,1.1295,0,lure,2,1,non-tie,small-sized,low,2 × 4 = 10
10010,CAB,1.561,1,correct,0,9,non-tie,large-sized,high,3 × 9 = 27
10010,CAB,1.3999,1,lure,4,5,tie,small-sized,low,4 × 4 = 12
10010,CAB,1.3296,1,correct,0,8,non-tie,small-sized,high,3 × 6 = 18
10010,CAB,1.8642,1,correct,0,13,non-tie,large-sized,high,6 × 9 = 54
10010,CAB,1.5624,1,lure,2,4,non-tie,small-sized,low,7 × 2 = 12
10010,CAB,1.0299,1,correct,0,4,non-tie,small-sized,low,2 × 7 = 14
10010,CAB,0.9987,1,correct,0,9,non-tie,large-sized,high,8 × 5 = 40
10010,CAB,1.3999,1,lure,3,9,non-tie,large-sized,high,9 × 3 = 24
10010,CAB,0.8464,1,correct,0,7,non-tie,small-sized,low,2 × 9 = 18
10010,CAB,1.9627,1,lure,5,7,non-tie,large-sized,low,7 × 5 = 30
10010,CAB,0.781,1,correct,0,10,non-tie,small-sized,high,4 × 3 = 12
10010,CAB,1.03,1,correct,0,7,non-tie,small-sized,low,8 × 2 = 16
10010,CAB,1.5296,1,lure,2,3,non-tie,small-sized,low,2 × 6 = 14
10010,CAB,1.6814,1,correct,0,13,non-tie,small-sized,high,3 × 8 = 24
10010,CAB,0.8629,1,lure,4,12,non-tie,small-sized,high,4 × 6 = 28
10010,CAB,1.0317,0,lure,5,3,tie,small-sized,low,5 × 5 = 20
10010,CAB,1.0005,1,lure,3,8,non-tie,small-sized,high,3 × 6 = 21
10010,CAB,1.7462,1,correct,0,19,non-tie,large-sized,high,9 × 8 = 72
10010,CAB,1.267,1,lure,2,3,non-tie,small-sized,low,6 × 2 = 10
10010,CAB,1.4289,1,lure,6,11,non-tie,large-sized,high,8 × 6 = 42
10010,CAB,0.8348,1,lure,6,11,non-tie,large-sized,high,6 × 8 = 54
10010,CAB,0.8954,1,lure,7,7,tie,large-sized,low,7 × 7 = 42
10010,CAB,1.5803,1,lure,5,6,non-tie,large-sized,low,9 × 5 = 40
10010,CAB,1.0295,0,lure,9,13,non-tie,large-sized,high,6 × 9 = 45
10010,CAB,1.3706,1,lure,8,19,tie,large-sized,high,8 × 8 = 56
10010,CAB,1.2626,1,correct,0,0,tie,small-sized,low,2 × 2 = 4
10010,CAB,1.0471,1,lure,6,4,tie,large-sized,low,6 × 6 = 42
10010,CAB,1.3633,1,correct,0,0,non-tie,small-sized,low,2 × 5 = 10
10010,CAB,0.9943,1,lure,2,0,non-tie,small-sized,low,3 × 2 = 4
10010,CAB,1.0783,1,correct,0,3,non-tie,small-sized,low,2 × 6 = 12
10010,CAB,0.8185,1,lure,2,0,tie,small-sized,low,2 × 2 = 6
10010,CAB,0.9139,1,correct,0,11,non-tie,large-sized,high,8 × 6 = 48
10010,CAB,1.0305,1,lure,3,0,tie,small-sized,low,3 × 3 = 6
10010,CAB,1.6821,1,lure,9,9,non-tie,large-sized,high,4 × 9 = 27
10010,CAB,1.0122,1,lure,3,13,non-tie,small-sized,high,7 × 3 = 18
10010,CAB,1.1946,1,lure,9,6,tie,large-sized,low,9 × 9 = 72
10010,CAB,0.9949,0,lure,9,9,non-tie,large-sized,high,3 × 9 = 18
10010,CAB,1.4011,1,lure,4,25,non-tie,large-sized,high,8 × 4 = 28
10010,CAB,1.1481,1,correct,0,6,non-tie,large-sized,low,6 × 5 = 30
10010,CAB,1.395,1,lure,3,13,non-tie,small-sized,high,3 × 7 = 24
10010,CAB,0.9138,1,correct,0,6,non-tie,large-sized,low,5 × 9 = 45
10010,CAB,1.4292,1,correct,0,9,non-tie,large-sized,high,8 × 7 = 56
10010,CAB,1.046,1,correct,0,17,non-tie,large-sized,high,4 × 7 = 28
10010,CAB,1.1547,1,correct,0,0,non-tie,small-sized,low,5 × 2 = 10
10010,CAB,1.3454,1,lure,7,7,tie,large-sized,low,7 × 7 = 56
10010,CAB,1.6122,0,lure,3,13,non-tie,small-sized,high,3 × 8 = 27
10010,CAB,1.3844,0,correct,0,3,non-tie,small-sized,low,6 × 2 = 12
10010,CAB,1.8152,1,lure,3,13,non-tie,small-sized,high,8 × 3 = 21
10010,CAB,1.0853,1,lure,4,5,tie,small-sized,low,4 × 4 = 20
10010,CAB,1.5705,1,lure,9,6,non-tie,large-sized,low,5 × 9 = 36
10010,CAB,1.2133,1,lure,9,7,non-tie,small-sized,low,2 × 9 = 27
10010,CAB,1.4131,1,correct,0,6,non-tie,large-sized,low,5 × 6 = 30
10010,CAB,1.4457,1,lure,5,6,non-tie,large-sized,low,5 × 6 = 35
10010,CAB,1.164,1,correct,0,4,tie,large-sized,low,6 × 6 = 36
10010,CAB,1.3777,0,correct,0,10,non-tie,small-sized,high,3 × 4 = 12
10010,CAB,1.547,1,lure,4,8,non-tie,small-sized,high,4 × 5 = 24
10010,CAB,1.3953,1,lure,5,3,tie,small-sized,low,5 × 5 = 30
10010,CAB,2.9864,1,lure,6,4,tie,large-sized,low,6 × 6 = 30
10010,CAB,1.202,1,correct,0,19,tie,large-sized,high,8 × 8 = 64
10010,CAB,1.296,1,lure,2,3,non-tie,small-sized,low,6 × 2 = 10
10010,CAB,1.6794,1,correct,0,25,non-tie,large-sized,high,8 × 4 = 32
10010,CAB,1.1781,1,correct,0,8,non-tie,small-sized,high,6 × 3 = 18
10010,CAB,0.9123,1,correct,0,0,non-tie,small-sized,low,3 × 2 = 6
10010,CAB,1.2298,1,lure,4,9,non-tie,large-sized,high,9 × 4 = 32
10010,CAB,1.2154,1,correct,0,2,non-tie,small-sized,low,3 × 5 = 15
10010,CAB,1.5307,1,correct,0,9,non-tie,large-sized,high,9 × 4 = 36
10010,CAB,0.9497,1,lure,4,12,non-tie,small-sized,high,6 × 4 = 20
10010,CAB,1.1652,1,lure,2,1,non-tie,small-sized,low,2 × 4 = 10
10010,CAB,1.1971,1,lure,5,0,non-tie,small-sized,low,5 × 2 = 15
10010,CAB,1.064,1,correct,0,25,non-tie,large-sized,high,4 × 8 = 32
10010,CAB,0.9854,1,lure,2,0,tie,small-sized,low,2 × 2 = 6
10010,CAB,0.8999,1,correct,0,6,non-tie,large-sized,low,5 × 6 = 30
10010,CAB,1.0226,1,correct,0,10,non-tie,small-sized,high,3 × 4 = 12
10010,CAB,1.0117,0,lure,5,9,non-tie,large-sized,high,5 × 8 = 45
10010,CAB,1.4289,1,lure,2,0,tie,small-sized,low,2 × 2 = 2
10010,CAB,1.1861,1,correct,0,6,tie,large-sized,low,9 × 9 = 81
10010,CAB,1.0457,1,lure,4,5,tie,small-sized,low,4 × 4 = 20
10010,CAB,2.2646,1,lure,6,22,non-tie,large-sized,high,6 × 7 = 48
10010,CAB,1.0815,1,lure,2,7,non-tie,small-sized,low,8 × 2 = 14
10010,CAB,1.2623,1,correct,0,13,non-tie,large-sized,high,9 × 6 = 54
10010,CAB,1.6298,1,correct,0,11,non-tie,large-sized,high,8 × 6 = 48
10010,CAB,1.2662,1,lure,2,3,non-tie,small-sized,low,2 × 6 = 14
10010,CAB,1.2545,1,correct,0,0,tie,small-sized,low,2 × 2 = 4
10010,CAB,1.1004,1,lure,7,7,tie,large-sized,low,7 × 7 = 56
10010,CAB,0.8965,1,correct,0,8,non-tie,small-sized,high,5 × 4 = 20
10010,CAB,1.6122,1,lure,9,7,non-tie,small-sized,low,2 × 9 = 27
10010,CAB,0.9325,1,correct,0,7,non-tie,small-sized,low,9 × 2 = 18
10010,CAB,1.0796,1,correct,0,9,non-tie,large-sized,high,7 × 8 = 56
10010,CAB,0.7671,1,correct,0,6,non-tie,large-sized,low,9 × 5 = 45
10010,CAB,0.8787,1,lure,4,10,non-tie,small-sized,high,4 × 3 = 16
10010,CAB,0.987,1,lure,5,3,tie,small-sized,low,5 × 5 = 20
10010,CAB,0.8704,1,lure,2,7,non-tie,small-sized,low,9 × 2 = 16
10010,CAB,0.9632,1,correct,0,4,non-tie,small-sized,low,7 × 2 = 14
10010,CAB,1.2466,1,lure,7,17,non-tie,large-sized,high,9 × 7 = 56
10010,CAB,1.4527,1,lure,5,6,non-tie,large-sized,low,6 × 5 = 25
10010,CAB,1.8642,1,lure,4,25,non-tie,large-sized,high,8 × 4 = 28
10010,CAB,0.9333,1,correct,0,17,non-tie,large-sized,high,4 × 7 = 28
10010,CAB,0.6201,1,correct,0,3,tie,small-sized,low,5 × 5 = 25
10010,CAB,1.1672,1,lure,3,0,tie,small-sized,low,3 × 3 = 6
10010,CAB,1.5965,0,correct,0,3,non-tie,small-sized,low,2 × 6 = 12
10010,CAB,1.4354,1,correct,0,0,tie,small-sized,low,3 × 3 = 9
10010,CAB,0.9304,0,lure,2,0,non-tie,small-sized,low,3 × 2 = 4
10010,CAB,1.1689,1,lure,4,8,non-tie,small-sized,high,4 × 5 = 24
10010,CAB,1.1487,1,lure,3,13,non-tie,small-sized,high,3 × 8 = 27
10010,CAB,0.864,1,correct,0,0,non-tie,small-sized,low,5 × 2 = 10
10010,CAB,0.9653,1,correct,0,17,non-tie,large-sized,high,7 × 4 = 28
10010,CAB,1.298,1,correct,0,19,non-tie,large-sized,high,9 × 8 = 72
10010,CAB,1.0461,1,correct,0,7,non-tie,large-sized,low,7 × 5 = 35
10010,CAB,0.797,1,correct,0,7,tie,large-sized,low,7 × 7 = 49
10010,CAB,0.881,1,lure,2,7,non-tie,small-sized,low,2 × 8 = 18
10010,CAB,1.0655,1,correct,0,7,non-tie,large-sized,low,5 × 7 = 35
10010,CAB,1.181,1,lure,3,8,non-tie,small-sized,high,6 × 3 = 15
10010,CAB,0.8333,1,correct,0,4,tie,large-sized,low,6 × 6 = 36
10010,CAB,0.9982,1,correct,0,5,tie,small-sized,low,4 × 4 = 16
10010,CAB,0.9023,1,correct,0,2,non-tie,small-sized,low,5 × 3 = 15
10010,CAB,0.9208,1,lure,6,4,tie,large-sized,low,6 × 6 = 42
10010,CAB,2.2483,1,lure,9,9,non-tie,large-sized,high,4 × 9 = 27
10010,CAB,1.4714,1,lure,6,13,non-tie,large-sized,high,9 × 6 = 48
10010,CAB,0.7962,1,correct,0,9,non-tie,large-sized,high,8 × 5 = 40
10010,CAB,0.935,1,correct,0,19,tie,large-sized,high,8 × 8 = 64
10010,CAB,1.1156,1,lure,6,11,non-tie,large-sized,high,6 × 8 = 54
10010,CAB,0.814,1,correct,0,9,non-tie,large-sized,high,5 × 8 = 40
10010,CAB,0.701,1,correct,0,7,non-tie,small-sized,low,2 × 8 = 16
10010,CAB,0.9801,1,correct,0,9,non-tie,large-sized,high,3 × 9 = 27
10010,CAB,1.1464,1,correct,0,22,non-tie,large-sized,high,6 × 7 = 42
10010,CAB,0.718,1,correct,0,4,tie,large-sized,low,6 × 6 = 36
10010,CAB,0.7807,1,lure,9,6,tie,large-sized,low,9 × 9 = 90
10010,CAB,1.1852,1,lure,4,8,non-tie,small-sized,high,5 × 4 = 16
10010,CAB,1.6333,1,lure,9,6,tie,large-sized,low,9 × 9 = 72
10010,CAB,1.6881,1,lure,5,6,non-tie,large-sized,low,9 × 5 = 40
10010,CAB,0.996,1,correct,0,22,non-tie,large-sized,high,7 × 6 = 42
10010,CAB,0.6486,1,correct,0,1,non-tie,small-sized,low,4 × 2 = 8
10010,CAB,0.9313,1,lure,5,9,non-tie,large-sized,high,8 × 5 = 35
10010,CAB,0.9976,1,lure,8,19,tie,large-sized,high,8 × 8 = 72
10010,CAB,0.713,1,correct,0,3,tie,small-sized,low,5 × 5 = 25
10010,CAB,0.9625,1,correct,0,6,non-tie,large-sized,low,5 × 9 = 45
10010,CAB,1.2797,1,correct,0,13,non-tie,small-sized,high,8 × 3 = 24
10010,CAB,1.8892,0,correct,0,13,non-tie,large-sized,high,6 × 9 = 54
10010,CAB,1.1491,1,correct,0,1,non-tie,small-sized,low,2 × 4 = 8
10010,CAB,0.9135,1,lure,3,13,non-tie,small-sized,high,7 × 3 = 18
10010,CAB,1.686,1,lure,3,2,non-tie,small-sized,low,3 × 5 = 18
10010,CAB,0.8461,1,lure,2,1,non-tie,small-sized,low,4 × 2 = 6
10010,CAB,1.0297,1,lure,3,10,non-tie,small-sized,high,3 × 4 = 15
10010,CAB,2.8299,1,lure,9,19,non-tie,large-sized,high,8 × 9 = 63
10010,CAB,1.4197,1,correct,0,13,non-tie,small-sized,high,3 × 8 = 24
10010,CAB,0.8467,1,lure,8,19,tie,large-sized,high,8 × 8 = 56
10010,CAB,1.1971,1,lure,2,0,non-tie,small-sized,low,2 × 3 = 8
10010,CAB,0.8146,1,lure,5,7,non-tie,large-sized,low,5 × 7 = 40
10010,CAB,1.0133,1,lure,4,12,non-tie,small-sized,high,4 × 6 = 28
10010,CAB,0.62,1,correct,0,8,non-tie,small-sized,high,4 × 5 = 20
10010,CAB,1.031,1,lure,7,9,non-tie,large-sized,high,8 × 7 = 49
10010,CAB,1.3157,1,lure,3,9,non-tie,large-sized,high,9 × 3 = 24
10010,CAB,1.1314,1,lure,3,13,non-tie,small-sized,high,8 × 3 = 21
10010,CAB,1.33,1,lure,9,9,non-tie,large-sized,high,3 × 9 = 18
10010,CAB,1.0476,1,correct,0,5,tie,small-sized,low,4 × 4 = 16
10010,CAB,0.6673,1,correct,0,0,non-tie,small-sized,low,2 × 5 = 10
10010,CAB,1.0014,1,lure,6,22,non-tie,large-sized,high,7 × 6 = 36
10010,CAB,1.117,1,lure,8,19,non-tie,large-sized,high,9 × 8 = 64
10010,CAB,1.3169,1,lure,3,8,non-tie,small-sized,high,3 × 6 = 21
10010,CAB,2.1136,1,correct,0,9,non-tie,large-sized,high,8 × 7 = 56
10010,CAB,0.684,1,correct,0,17,non-tie,large-sized,high,7 × 9 = 63
10010,CAB,1.1384,1,lure,3,2,non-tie,small-sized,low,5 × 3 = 12
10010,CAB,0.7633,1,correct,0,7,tie,large-sized,low,7 × 7 = 49
10010,CAB,1.1167,0,correct,0,9,non-tie,large-sized,high,4 × 9 = 36
10010,CAB,0.8363,1,correct,0,8,non-tie,small-sized,high,3 × 6 = 18
10010,CAB,0.7805,1,correct,0,0,tie,small-sized,low,3 × 3 = 9
10010,CAB,2.2155,1,lure,6,11,non-tie,large-sized,high,8 × 6 = 42
10010,CAB,1.2475,1,correct,0,0,non-tie,small-sized,low,2 × 3 = 6
10010,CAB,0.8962,1,lure,5,6,non-tie,large-sized,low,5 × 6 = 35
10010,CAB,1.38,1,lure,3,13,non-tie,small-sized,high,3 × 7 = 24
10010,CAB,0.8464,1,lure,2,4,non-tie,small-sized,low,7 × 2 = 12
10010,CAB,1.0535,1,correct,0,4,non-tie,small-sized,low,2 × 7 = 14
10010,CAB,1.0809,1,correct,0,6,non-tie,large-sized,low,6 × 5 = 30
10010,CAB,0.9965,1,correct,0,17,non-tie,large-sized,high,9 × 7 = 63
10010,CAB,1.2808,1,lure,9,17,non-tie,large-sized,high,7 × 9 = 54
10010,CAB,1.2482,1,lure,2,0,non-tie,small-sized,low,2 × 5 = 12
10010,CAB,0.9656,1,correct,0,10,non-tie,small-sized,high,4 × 3 = 12
10010,CAB,1.0979,1,lure,5,3,tie,small-sized,low,5 × 5 = 30
10010,CAB,1.0458,1,correct,0,13,non-tie,small-sized,high,7 × 3 = 21
10010,CAB,0.9972,1,correct,0,12,non-tie,small-sized,high,4 × 6 = 24
10010,CAB,0.8153,1,correct,0,19,non-tie,large-sized,high,8 × 9 = 72
10010,CAB,1.8982,1,lure,9,13,non-tie,large-sized,high,6 × 9 = 45
10010,CAB,1.1373,1,lure,3,0,tie,small-sized,low,3 × 3 = 12
10010,CAB,0.8806,1,lure,5,7,non-tie,large-sized,low,7 × 5 = 30
10010,CAB,0.983,1,correct,0,7,non-tie,small-sized,low,2 × 9 = 18
10010,CAB,1.2465,1,correct,0,3,non-tie,small-sized,low,6 × 2 = 12
10010,CAB,1.0143,1,lure,4,17,non-tie,large-sized,high,4 × 7 = 32
10010,CAB,0.9467,1,lure,4,17,non-tie,large-sized,high,7 × 4 = 24
10010,CAB,1.3138,1,lure,9,6,non-tie,large-sized,low,5 × 9 = 36
10010,CAB,1.148,1,correct,0,9,non-tie,large-sized,high,9 × 3 = 27
10010,CAB,1.2963,1,lure,4,25,non-tie,large-sized,high,4 × 8 = 36
10010,CAB,1.5622,1,correct,0,12,non-tie,small-sized,high,6 × 4 = 24
10010,CAB,1.5514,1,lure,7,9,non-tie,large-sized,high,7 × 8 = 63
10010,CAB,1.1986,1,correct,0,7,non-tie,small-sized,low,8 × 2 = 16
10010,CAB,0.9381,1,correct,0,13,non-tie,small-sized,high,3 × 7 = 21
10010,CAB,1.2975,1,correct,0,6,tie,large-sized,low,9 × 9 = 81
10010,CAB,0.6051,1,correct,0,0,tie,small-sized,low,2 × 2 = 4
10010,CAB,0.985,1,lure,4,5,tie,small-sized,low,4 × 4 = 12
10010,CAB,1.0973,1,correct,0,11,non-tie,large-sized,high,6 × 8 = 48
10010,CAB,0.9801,1,lure,2,4,non-tie,small-sized,low,2 × 7 = 16
10010,CAB,1.0521,1,lure,7,7,tie,large-sized,low,7 × 7 = 42
10011,BCA,0.9266,1,correct,0,13,non-tie,small-sized,high,3 × 7 = 21
10011,BCA,0.9066,1,correct,0,19,tie,large-sized,high,8 × 8 = 64
10011,BCA,2.2544,1,correct,0,9,non-tie,large-sized,high,8 × 7 = 56
10011,BCA,0.6802,1,correct,0,6,tie,large-sized,low,9 × 9 = 81
10011,BCA,0.92490000000000006,1,correct,0,13,non-tie,small-sized,high,3 × 8 = 24
10011,BCA,0.8139,1,correct,0,5,tie,small-sized,low,4 × 4 = 16
10011,BCA,1.0663,1,lure,9,6,tie,large-sized,low,9 × 9 = 90
10011,BCA,0.9076,1,correct,0,2,non-tie,small-sized,low,5 × 3 = 15
10011,BCA,0.9657,1,correct,0,7,tie,large-sized,low,7 × 7 = 49
10011,BCA,1.2395,1,lure,4,17,non-tie,large-sized,high,7 × 4 = 24
10011,BCA,1.14,1,lure,4,25,non-tie,large-sized,high,4 × 8 = 36
10011,BCA,1.042,1,correct,0,3,tie,small-sized,low,5 × 5 = 25
10011,BCA,1.3986,1,correct,0,9,non-tie,large-sized,high,4 × 9 = 36
10011,BCA,1.9864,1,lure,6,11,non-tie,large-sized,high,8 × 6 = 42
10011,BCA,0.9663,1,correct,0,13,non-tie,small-sized,high,8 × 3 = 24
10011,BCA,0.6679,1,correct,0,7,non-tie,small-sized,low,8 × 2 = 16
10011,BCA,0.8612,1,lure,3,0,tie,small-sized,low,3 × 3 = 6
10011,BCA,1.8233,1,lure,9,13,non-tie,large-sized,high,6 × 9 = 45
10011,BCA,1.2443,1,lure,3,8,non-tie,small-sized,high,6 × 3 = 15
10011,BCA,0.8761,1,correct,0,22,non-tie,large-sized,high,7 × 6 = 42
10011,BCA,0.5733,1,correct,0,0,tie,small-sized,low,2 × 2 = 4
10011,BCA,0.8768,1,lure,7,9,non-tie,large-sized,high,8 × 7 = 49
10011,BCA,0.854,1,lure,7,7,tie,large-sized,low,7 × 7 = 42
10011,BCA,0.7114,1,correct,0,4,non-tie,small-sized,low,7 × 2 = 14
10011,BCA,1.0627,1,correct,0,25,non-tie,large-sized,high,8 × 4 = 32
10011,BCA,0.8475,1,lure,6,4,tie,large-sized,low,6 × 6 = 42
10011,BCA,0.7515,1,correct,0,7,non-tie,large-sized,low,7 × 5 = 35
10011,BCA,0.7713,1,correct,0,6,tie,large-sized,low,9 × 9 = 81
10011,BCA,0.6664,1,correct,0,6,non-tie,large-sized,low,9 × 5 = 45
10011,BCA,0.7364,1,lure,3,13,non-tie,small-sized,high,3 × 8 = 27
10011,BCA,1.7497,1,correct,0,17,non-tie,large-sized,high,7 × 9 = 63
10011,BCA,1.155,1,lure,2,0,non-tie,small-sized,low,2 × 3 = 8
10011,BCA,0.8752,1,lure,2,0,tie,small-sized,low,2 × 2 = 2
10011,BCA,0.7504,1,correct,0,0,non-tie,small-sized,low,2 × 3 = 6
10011,BCA,0.8726,1,lure,9,6,non-tie,large-sized,low,5 × 9 = 36
10011,BCA,1.0142,1,lure,9,17,non-tie,large-sized,high,7 × 9 = 54
10011,BCA,1.6911,1,lure,3,9,non-tie,large-sized,high,9 × 3 = 24
10011,BCA,0.5835,1,correct,0,4,tie,large-sized,low,6 × 6 = 36
10011,BCA,0.8409,1,correct,0,17,non-tie,large-sized,high,7 × 4 = 28
